timestamp,accelerometer,x,y,z,gyro,x,y,z,,,,,,,,,,,
622234.6827,3,-0.305,-0.146,10.068,4,0,0,0,5,-9.877,12.598,-6.192,,,,,,,
622234.7403,3,-0.306,-0.143,10.068,4,0,0,0,5,-9.818,12.091,-5.498,,,,,,,
622234.7979,3,-0.303,-0.145,10.063,4,0,0,0,5,-9.979,12.114,-6.015,,,,,,,
622234.8556,3,-0.301,-0.144,10.067,4,0,0,0,,,,,,,,,,,
622234.9132,3,-0.304,-0.143,10.065,4,0,0,0.001,5,-11.522,14.124,-6.816,,,,,,,
622234.9708,3,-0.303,-0.146,10.065,4,0.001,0,0,5,-11.105,12.831,-7.796,,,,,,,
622235.0284,3,-0.302,-0.146,10.063,4,0,0,0,,,,,,,,,,,
622235.0861,3,-0.301,-0.144,10.064,4,0,0,0,5,-11.397,13.676,-8.913,,,,,,,
622235.1437,3,-0.305,-0.143,10.062,4,0,0,0,5,-10.303,13.571,-8.34,,,,,,,
622235.2013,3,-0.301,-0.144,10.064,4,0,0,0,5,-10.786,12.09,-7.462,,,,,,,
622235.259,3,-0.302,-0.142,10.063,4,0,0,0,5,-10.516,12.758,-6.876,,,,,,,
622235.3166,3,-0.304,-0.141,10.066,4,0,0,0,5,-9.334,11.798,-5.096,,,,,,,
622235.3742,3,-0.3,-0.143,10.063,4,0,0,0,5,-10.533,12.837,-5.173,,,,,,,
622235.4319,3,-0.305,-0.141,10.062,4,0,0,0,,,,,,,,,,,
622235.4895,3,-0.303,-0.145,10.06,4,0,0,0,5,-9.735,13.408,-6.432,,,,,,,
622235.5471,3,-0.303,-0.141,10.067,4,0,0,0,5,-11.322,12.776,-7.184,,,,,,,
622235.6047,3,-0.305,-0.143,10.068,4,0,0,0,5,-10.677,13.683,-6.532,,,,,,,
622235.6623,3,-0.304,-0.14,10.067,4,0,0,0,5,-10.406,12.758,-8.02,,,,,,,
622235.72,3,-0.301,-0.144,10.061,4,0,0,0,5,-11.121,12.34,-7.588,,,,,,,
622235.7776,3,-0.301,-0.144,10.067,4,0,0,0,5,-10.657,11.865,-7.668,,,,,,,
622235.8352,3,-0.306,-0.145,10.062,4,0,0,0,,,,,,,,,,,
622235.8929,3,-0.301,-0.143,10.059,4,0,0,0,5,-9.859,13.611,-7.095,,,,,,,
622235.9505,3,-0.302,-0.141,10.067,4,0,0,0,5,-10.036,12.529,-7.269,,,,,,,
622236.0081,3,-0.305,-0.145,10.065,4,0,0,0,5,-12.283,12.877,-7.384,,,,,,,
622236.0658,3,-0.303,-0.142,10.061,4,0,0,0,5,-11.469,12.407,-6.712,,,,,,,
622236.1234,3,-0.302,-0.146,10.063,4,0,0,0,5,-10.481,13.493,-7.497,,,,,,,
622236.181,3,-0.301,-0.144,10.067,4,0,0,0,5,-11.223,12.338,-5.522,,,,,,,
622236.2386,3,-0.3,-0.142,10.064,4,0,0,0,,,,,,,,,,,
622236.2963,3,-0.306,-0.143,10.064,4,-0.001,-0.001,0,5,-9.865,10.93,-5.594,,,,,,,
622236.3539,3,-0.302,-0.143,10.066,4,0,0,0,5,-9.886,11.761,-7.523,,,,,,,
622236.4115,3,-0.306,-0.144,10.062,4,0,0,0,5,-11.523,13.742,-7.558,,,,,,,
622236.4691,3,-0.302,-0.14,10.059,4,0,0,0,5,-10.725,11.42,-8.176,,,,,,,
622236.5268,3,-0.299,-0.144,10.063,4,0,0,0,5,-9.688,13.123,-7.808,,,,,,,
622236.5844,3,-0.305,-0.144,10.067,4,0,0,0,5,-11.041,12.593,-7.404,,,,,,,
622236.6421,3,-0.298,-0.14,10.065,4,0,0,0,,,,,,,,,,,
622236.6997,3,-0.303,-0.144,10.063,4,0,0,0,5,-12.135,13.899,-6.918,,,,,,,
