timestamp,accelerometer,x,y,z,gyro,x,y,z,,average accelerometer,,,average gyro,
602031.2687,3,-0.208,-0.067,10.102,4,0.002,-0.001,0,,,,,,
602031.2711,3,-0.215,-0.065,10.105,4,-0.001,-0.001,0.001,,,,,,
602031.2735,3,-0.208,-0.065,10.081,4,-0.001,0.001,0,,,,,,
602031.2759,3,-0.206,-0.067,10.105,4,-0.001,0.001,-0.001,,,,,,
602031.2783,3,-0.199,-0.093,10.112,4,0,0,0,,,,,,
602031.2807,3,-0.215,-0.081,10.1,4,-0.001,-0.001,0,,,,,,
602031.2831,3,-0.213,-0.079,10.11,4,0,0.001,-0.001,,,,,,
602031.2855,3,-0.213,-0.081,10.105,4,0.001,0.001,0,,,,,,
602031.2879,3,-0.208,-0.069,10.107,4,0,0,-0.001,,,,,,
602031.2903,3,-0.206,-0.062,10.112,4,0,-0.001,0.001,,,,,,
602031.2927,3,-0.223,-0.065,10.098,4,0,-0.001,0,,,,,,
602031.2951,3,-0.22,-0.057,10.088,4,0,-0.001,-0.001,,,,,,
602031.2975,3,-0.223,-0.089,10.095,4,0,0.001,0.001,,,,,,
602031.2999,3,-0.201,-0.074,10.102,4,0.001,0.001,0.001,,,,,,
602031.3023,3,-0.218,-0.077,10.091,4,0.001,0,-0.001,,,,,,
602031.3047,3,-0.213,-0.062,10.095,4,0,0,0,,,,,,
602031.3071,3,-0.203,-0.081,10.076,4,0,0.001,-0.001,,,,,,
602031.3096,3,-0.201,-0.084,10.079,4,0,0,-0.002,,,,,,
602031.312,3,-0.215,-0.069,10.098,4,0,0,-0.002,,,,,,
602031.3144,3,-0.225,-0.065,10.098,4,0,0,0,,,,,,
602031.3168,3,-0.206,-0.091,10.112,4,0,0,0,,,,,,
602031.3192,3,-0.208,-0.084,10.1,4,0,0.001,0.001,,,,,,
602031.3216,3,-0.223,-0.065,10.107,4,0,0,0.001,,,,,,
602031.324,3,-0.213,-0.084,10.102,4,0.001,0.001,0.001,,,,,,
602031.3264,3,-0.225,-0.072,10.102,4,0,0.003,0,,,,,,
602031.3288,3,-0.211,-0.074,10.1,4,-0.001,0,0,,,,,,
602031.3312,3,-0.22,-0.096,10.093,4,0,0,-0.001,,,,,,
602031.3336,3,-0.203,-0.081,10.1,4,0.001,0,0,,,,,,
602031.336,3,-0.223,-0.089,10.129,4,0,0,-0.001,,,,,,
602031.3384,3,-0.201,-0.081,10.098,4,0.001,0.001,0.001,,,,,,
602031.3408,3,-0.211,-0.074,10.122,4,0,0,0.001,,,,,,
602031.3432,3,-0.234,-0.081,10.102,4,0,0.001,-0.001,,,,,,
602031.3456,3,-0.22,-0.065,10.095,4,0,0.001,0,,,,,,
602031.348,3,-0.208,-0.062,10.1,4,0,0.001,0.001,,,,,,
602031.3504,3,-0.206,-0.072,10.1,4,0.002,0,0,,,,,,
602031.3528,3,-0.211,-0.069,10.102,4,0.001,0.001,0.001,,,,,,
602031.3552,3,-0.218,-0.06,10.098,4,0,0.002,-0.001,,,,,,
602031.3576,3,-0.203,-0.065,10.086,4,-0.001,0,0,,,,,,
602031.36,3,-0.213,-0.072,10.091,4,0,0,0.001,,,,,,
602031.3624,3,-0.194,-0.072,10.11,4,0,0,0.001,,,,,,
602031.3648,3,-0.203,-0.055,10.086,4,-0.001,-0.001,0.001,,,,,,
602031.3672,3,-0.218,-0.084,10.079,4,0,-0.001,0,,,,,,
602031.3696,3,-0.213,-0.069,10.114,4,0,-0.001,-0.001,,,,,,
602031.372,3,-0.203,-0.077,10.1,4,0.001,0,0,,,,,,
602031.3744,3,-0.203,-0.081,10.105,4,0,0,0,,,,,,
602031.3768,3,-0.206,-0.093,10.105,4,-0.001,0.001,0.001,,,,,,
602031.3792,3,-0.199,-0.077,10.086,4,0,-0.001,0.001,,,,,,
602031.3816,3,-0.201,-0.069,10.112,4,0,0,0.001,,,,,,
602031.384,3,-0.211,-0.072,10.112,4,0.001,-0.001,0,,,,,,
602031.3864,3,-0.218,-0.069,10.095,4,-0.001,0.001,-0.001,,,,,,
602031.3888,3,-0.23,-0.067,10.11,4,0,0,0,,,,,,
602031.3912,3,-0.203,-0.081,10.11,4,0,0.001,0.001,,,,,,
602031.3936,3,-0.211,-0.072,10.105,4,0,-0.001,0,,,,,,
602031.396,3,-0.223,-0.053,10.098,4,0,0.001,0,,,,,,
602031.3984,3,-0.218,-0.072,10.091,4,0,0,0,,,,,,
602031.4008,3,-0.223,-0.098,10.11,4,0.001,0.001,0.001,,,,,,
602031.4032,3,-0.201,-0.074,10.086,4,0,0.001,0.001,,,,,,
602031.4056,3,-0.227,-0.072,10.105,4,0,0,0.001,,,,,,
602031.408,3,-0.22,-0.079,10.117,4,0,-0.002,0.001,,,,,,
602031.4104,3,-0.196,-0.055,10.107,4,0.001,0,-0.001,,,,,,
602031.4128,3,-0.23,-0.069,10.086,4,0,0.001,-0.001,,,,,,
602031.4152,3,-0.223,-0.096,10.093,4,0.002,0,-0.001,,,,,,
602031.4176,3,-0.203,-0.077,10.102,4,0.002,0,-0.001,,,,,,
602031.42,3,-0.203,-0.089,10.095,4,0,0,-0.001,,,,,,
602031.4224,3,-0.199,-0.079,10.098,4,0.002,0.002,0,,,,,,
602031.4248,3,-0.22,-0.05,10.088,4,0.002,0,0.001,,,,,,
602031.4272,3,-0.225,-0.072,10.102,4,0,0,0,,,,,,
602031.4296,3,-0.223,-0.062,10.107,4,-0.001,0,0,,,,,,
602031.432,3,-0.218,-0.065,10.112,4,-0.001,0,-0.001,,,,,,
602031.4344,3,-0.203,-0.079,10.114,4,0,0.001,0,,,,,,
602031.4368,3,-0.206,-0.074,10.11,4,-0.001,0.001,0.001,,,,,,
602031.4392,3,-0.196,-0.079,10.095,4,0,0.001,0,,,,,,
602031.4416,3,-0.211,-0.081,10.086,4,0,-0.001,-0.001,,,,,,
602031.444,3,-0.232,-0.074,10.114,4,-0.001,0,-0.001,,,,,,
602031.4464,3,-0.215,-0.065,10.107,4,0,0,0,,,,,,
602031.4488,3,-0.208,-0.065,10.105,4,-0.001,0.001,0.001,,,,,,
602031.4512,3,-0.211,-0.06,10.114,4,0,0,-0.001,,,,,,
602031.4536,3,-0.206,-0.081,10.102,4,0.001,0.001,0.001,,,,,,
602031.456,3,-0.206,-0.089,10.093,4,0,0,0.001,,,,,,
602031.4584,3,-0.211,-0.079,10.098,4,0.001,-0.002,0.001,,,,,,
602031.4608,3,-0.218,-0.091,10.098,4,0,0,0.001,,,,,,
602031.4632,3,-0.215,-0.077,10.093,4,0,0.001,-0.001,,,,,,
602031.4656,3,-0.213,-0.077,10.11,4,0.002,-0.002,0.001,,,,,,
602031.468,3,-0.213,-0.067,10.095,4,0.001,0,0,,,,,,
602031.4704,3,-0.211,-0.072,10.1,4,0.001,0.001,0.001,,,,,,
602031.4728,3,-0.22,-0.074,10.102,4,0.001,0,0,,,,,,
602031.4752,3,-0.225,-0.091,10.1,4,0,0,-0.001,,,,,,
602031.4776,3,-0.206,-0.065,10.105,4,-0.001,0,0,,,,,,
602031.48,3,-0.208,-0.074,10.114,4,0,-0.002,0.001,,,,,,
602031.4824,3,-0.199,-0.065,10.126,4,-0.001,0,0,,,,,,
602031.4848,3,-0.225,-0.072,10.095,4,0,0.001,0,,,,,,
602031.4872,3,-0.22,-0.096,10.114,4,0.001,0.001,0,,,,,,
602031.4896,3,-0.227,-0.093,10.102,4,0,0,-0.001,,,,,,
602031.492,3,-0.211,-0.062,10.114,4,0,0,0,,,,,,
602031.4944,3,-0.203,-0.096,10.102,4,0,0,0.001,,,,,,
602031.4968,3,-0.22,-0.069,10.098,4,0.001,0,-0.001,,,,,,
602031.4992,3,-0.208,-0.077,10.088,4,0.001,0.001,0,,,,,,
602031.5017,3,-0.215,-0.084,10.091,4,0,0,0,,,,,,
602031.504,3,-0.213,-0.081,10.091,4,0,0,0.001,,,,,,
602031.5065,3,-0.208,-0.084,10.086,4,0.001,0,0,,,,,,
602031.5088,3,-0.206,-0.079,10.105,4,0.001,0.001,0,,,,,,
602031.5112,3,-0.225,-0.074,10.098,4,0.002,0.001,0.001,,,,,,
602031.5137,3,-0.211,-0.055,10.102,4,0.001,0.001,-0.001,,,,,,
602031.5161,3,-0.206,-0.081,10.107,4,0.002,0,0.001,,,,,,
602031.5184,3,-0.215,-0.05,10.098,4,0.001,0,0.001,,,,,,
602031.5209,3,-0.215,-0.067,10.11,4,0.001,0,0.001,,,,,,
602031.5233,3,-0.206,-0.072,10.098,4,0,0.001,0,,,,,,
602031.5256,3,-0.246,-0.065,10.088,4,0,0,0.001,,,,,,
602031.5281,3,-0.191,-0.074,10.091,4,0,-0.001,0,,,,,,
602031.5305,3,-0.201,-0.079,10.086,4,0,0,-0.001,,,,,,
602031.5328,3,-0.208,-0.086,10.105,4,0,0.001,0,,,,,,
602031.5353,3,-0.196,-0.072,10.095,4,0.002,0.001,0,,,,,,
602031.5377,3,-0.206,-0.057,10.098,4,0.002,0,0.001,,,,,,
602031.5401,3,-0.218,-0.057,10.067,4,0.001,-0.001,0.001,,,,,,
602031.5425,3,-0.22,-0.06,10.081,4,0.001,0,0.001,,,,,,
602031.5449,3,-0.223,-0.048,10.095,4,0,0,0,,,,,,
602031.5473,3,-0.206,-0.065,10.107,4,0,0.001,0,,,,,,
602031.5497,3,-0.213,-0.065,10.098,4,0.001,0.002,-0.001,,,,,,
602031.5521,3,-0.201,-0.067,10.1,4,-0.001,0,0,,,,,,
602031.5545,3,-0.199,-0.067,10.093,4,0,0.001,0.001,,,,,,
602031.5569,3,-0.201,-0.072,10.091,4,0,0.001,0.001,,,,,,
602031.5593,3,-0.223,-0.077,10.117,4,0,0,-0.001,,,,,,
602031.5617,3,-0.215,-0.074,10.093,4,0,0,0,,,,,,
602031.5641,3,-0.201,-0.077,10.086,4,0,0.001,0.001,,,,,,
602031.5665,3,-0.227,-0.091,10.093,4,0.002,0.002,0.001,,,,,,
602031.5689,3,-0.232,-0.079,10.1,4,0.001,0,-0.001,,,,,,
602031.5713,3,-0.23,-0.105,10.126,4,0,0.001,0.001,,,,,,
602031.5737,3,-0.215,-0.084,10.091,4,-0.001,0,0.001,,,,,,
602031.5761,3,-0.213,-0.062,10.119,4,0,0,0,,,,,,
602031.5785,3,-0.208,-0.072,10.105,4,0,-0.001,0.001,,,,,,
602031.5809,3,-0.206,-0.06,10.1,4,0,0,0.001,,,,,,
602031.5833,3,-0.215,-0.072,10.105,4,0,0.001,0,,,,,,
602031.5857,3,-0.211,-0.074,10.11,4,0.001,0,-0.001,,,,,,
602031.5881,3,-0.211,-0.091,10.114,4,0,0,0,,,,,,
602031.5905,3,-0.208,-0.084,10.107,4,-0.001,0,-0.001,,,,,,
602031.5929,3,-0.213,-0.053,10.1,4,0,0,-0.001,,,,,,
602031.5953,3,-0.211,-0.05,10.107,4,0,0,0.002,,,,,,
602031.5977,3,-0.218,-0.041,10.112,4,0.001,0,0.001,,,,,,
602031.6001,3,-0.191,-0.067,10.091,4,0,0,0.001,,,,,,
602031.6025,3,-0.218,-0.091,10.098,4,0.001,-0.001,-0.001,,,,,,
602031.6049,3,-0.201,-0.077,10.098,4,-0.001,0,-0.001,,,,,,
602031.6073,3,-0.208,-0.06,10.098,4,0.001,0,0,,,,,,
602031.6097,3,-0.227,-0.074,10.1,4,-0.001,-0.002,0,,,,,,
602031.6121,3,-0.213,-0.067,10.124,4,-0.001,0.001,-0.001,,,,,,
602031.6145,3,-0.227,-0.079,10.107,4,0,0,-0.001,,,,,,
602031.6169,3,-0.196,-0.074,10.098,4,0,0,0.001,,,,,,
602031.6193,3,-0.227,-0.069,10.105,4,0,0,0,,,,,,
602031.6217,3,-0.215,-0.077,10.105,4,0,0,0.001,,,,,,
602031.6241,3,-0.223,-0.086,10.11,4,0.001,0.001,0.002,,,,,,
602031.6265,3,-0.184,-0.06,10.1,4,0,0,0,,,,,,
602031.6289,3,-0.194,-0.084,10.105,4,0.002,0.001,0.001,,,,,,
602031.6313,3,-0.225,-0.086,10.126,4,0.002,-0.001,0.001,,,,,,
602031.6337,3,-0.232,-0.074,10.1,4,0.001,0,0.001,,,,,,
602031.6361,3,-0.213,-0.074,10.105,4,0.002,0,0,,,,,,
602031.6385,3,-0.213,-0.077,10.095,4,0,0,-0.001,,,,,,
602031.6409,3,-0.203,-0.067,10.112,4,0.001,0.001,-0.001,,,,,,
602031.6433,3,-0.223,-0.079,10.1,4,-0.001,0.001,0.001,,,,,,
602031.6457,3,-0.196,-0.072,10.114,4,0.001,0.003,0,,,,,,
602031.6481,3,-0.203,-0.086,10.1,4,-0.001,0.001,-0.001,,,,,,
602031.6505,3,-0.218,-0.072,10.1,4,0,0,0,,,,,,
602031.6529,3,-0.215,-0.072,10.093,4,0,0.002,0,,,,,,
602031.6553,3,-0.199,-0.081,10.11,4,0,0.001,0.001,,,,,,
602031.6577,3,-0.22,-0.084,10.105,4,-0.001,0.001,0.002,,,,,,
602031.6601,3,-0.218,-0.069,10.114,4,-0.001,0,0,,,,,,
602031.6625,3,-0.194,-0.05,10.117,4,0,0,0,,,,,,
602031.665,3,-0.211,-0.079,10.11,4,0.001,0,0,,,,,,
602031.6673,3,-0.211,-0.065,10.086,4,0,0,0,,,,,,
602031.6698,3,-0.213,-0.077,10.114,4,0,0.001,0.001,,,,,,
602031.6722,3,-0.203,-0.062,10.102,4,0,0.001,0,,,,,,
602031.6745,3,-0.213,-0.077,10.107,4,-0.001,0.001,0.001,,,,,,
602031.677,3,-0.218,-0.072,10.11,4,0.002,0.001,0,,,,,,
602031.6794,3,-0.211,-0.06,10.1,4,0.002,0.002,0.001,,,,,,
602031.6817,3,-0.215,-0.067,10.122,4,0,0.001,0.001,,,,,,
602031.6842,3,-0.191,-0.057,10.112,4,0,0.001,0.001,,,,,,
602031.6866,3,-0.215,-0.086,10.11,4,-0.001,0,0,,,,,,
602031.6889,3,-0.215,-0.069,10.114,4,0,0,-0.001,,,,,,
602031.6914,3,-0.225,-0.079,10.119,4,-0.001,0,-0.001,,,,,,
602031.6938,3,-0.223,-0.069,10.1,4,0,0,0,,,,,,
602031.6961,3,-0.199,-0.072,10.114,4,0.001,-0.002,0.001,,,,,,
602031.6986,3,-0.215,-0.06,10.112,4,0.002,0.001,0,,,,,,
